name;type;frequency;tolerance;minfrequency;maxfrequency;priority;squelchlevel
8. UHF TV CH 21;3;0;0;470000;478000;4;5
8. UHF TV CH 22;3;0;0;478000;486000;4;5
8. UHF TV CH 23;3;0;0;486000;494000;4;5
8. UHF TV CH 24;3;0;0;494000;502000;4;5
8. UHF TV CH 25;3;0;0;502000;510000;4;5
8. UHF TV CH 26;3;0;0;510000;518000;4;5
8. UHF TV CH 27;3;0;0;518000;526000;4;5
8. UHF TV CH 28;3;0;0;526000;534000;4;5
8. UHF TV CH 29;3;0;0;534000;542000;4;5
8. UHF TV CH 30;3;0;0;542000;550000;4;5
8. UHF TV CH 31;3;0;0;550000;558000;4;5
8. UHF TV CH 32;3;0;0;558000;566000;4;5
8. UHF TV CH 33;3;0;0;566000;574000;4;5
8. UHF TV CH 34;3;0;0;574000;582000;4;5
8. UHF TV CH 35;3;0;0;582000;590000;4;5
8. UHF TV CH 36;3;0;0;590000;598000;4;5
8. UHF TV CH 37;3;0;0;598000;606000;4;5
8. UHF TV CH 38;3;0;0;606000;614000;4;5
8. UHF TV CH 39;3;0;0;614000;622000;4;5
8. UHF TV CH 40;3;0;0;622000;630000;4;5
8. UHF TV CH 41;3;0;0;630000;638000;4;5
8. UHF TV CH 42;3;0;0;638000;646000;4;5
8. UHF TV CH 43;3;0;0;646000;654000;4;5
8. UHF TV CH 44;3;0;0;654000;662000;4;5
8. UHF TV CH 45;3;0;0;662000;670000;4;5
8. UHF TV CH 46;3;0;0;670000;678000;4;5
8. UHF TV CH 47;3;0;0;678000;686000;4;5
8. UHF TV CH 48;3;0;0;686000;694000;4;5
8. UHF TV CH 49;3;0;0;694000;702000;4;5
8. UHF TV CH 50;3;0;0;702000;710000;4;5
8. UHF TV CH 51;3;0;0;710000;718000;4;5
8. UHF TV CH 52;3;0;0;718000;726000;4;5
8. UHF TV CH 53;3;0;0;726000;734000;4;5
8. UHF TV CH 54;3;0;0;734000;742000;4;5
8. UHF TV CH 55;3;0;0;742000;750000;4;5
8. UHF TV CH 56;3;0;0;750000;758000;4;5
8. UHF TV CH 57;3;0;0;758000;766000;4;5
8. UHF TV CH 58;3;0;0;766000;774000;4;5
8. UHF TV CH 59;3;0;0;774000;782000;4;5
8. UHF TV CH 60;3;0;0;782000;790000;4;5